Domain (FROM),Connection TO,Original Text,Proposed website text,Comments
LE Cleanse the Air,GE Biodiversity Loss,Reduced Air Pollution will have positive impact on species abundance,Reducing air pollution could also improve conditions for species abundance and protect biodiversity.,
LE Cleanse the Air,GE Air Pollution,"Less pollutants released (Particulate Matter, Nitrogen Dioxide) into the atmosphere",Local reductions in air pollution will contribute to global reductions in atmospheric pollutants.,
LE Cleanse the Air,GE Climate Change,"Some question about removing aerosols from the air and their 'cooling' properties - some trade-offs/slowdown in halting climate change?
https://www.nature.com/articles/s41586-019-1554-z",Green and blue urban infrastructure intended to reduce air pollution will also help reduce climate change.,
LE Enhance Wellbeing,LS Income and Work,Job and volunteering opportunities created in this sustainable sector,Involvement in the upkeep and stewardship of green and blue spaces that enhance wellbeing may provide opportunities for income and work and volunteering.  ,
LE Enhance Wellbeing,LS Health,Green spaces for physical exercise and community togetherness have both physical and mental health benefits,Glasgow's open spaces can support mental and physical health when used for leisure and as 'green gyms’.,
LE Enhance Wellbeing,LS Social Equity,Important sites for inclusivity - parks should be free and open to all Glaswegians,"If Glasgow's parks are inclusive, accessible spaces they can support social equity.",
LE Enhance Wellbeing,LS Equality in Diversity,,"If Glasgow's parks are inclusive, accessible spaces they can promote equality in diversity. ",
LE Enhance Wellbeing,LS Culture,"Parks support accessible, inclusive venues for cultural activities e.g. open air theatre","Glasgow's green spaces can support accessible and inclusive venues for cultural activities, for example, open air theatre.",
LE Enhance Wellbeing,LS Community,Public parks and green spaces offer places for the community to come together and build ties,The local community could have the opportunity to be involved in the upkeep and stewardship of green and blue spaces that enhance wellbeing.,
LE Enhance Wellbeing,LS Food,"Community kitchen gardens, allotments, growing in parks etc. can support affordable, local food supply",Glasgow's green spaces can provide opportunities for local food growing initiatives.,
LE Enhance Wellbeing,LE Store Carbon,Sites (e.g. VDL) redesigned for community benefit could also feature CCS design features,Redesign of green and blue spaces for community benefits and to enhance wellbeing could also feature carbon capture and storage solutions.,
LE Enhance Wellbeing,LE Regulate the Temperature,Botanical Gardens have been shown to be efficient urban cooling infrastructure,Parks and other green and blue spaces designed to enhance wellbeing can also help to regulate the temperature.,
LE Cycle Water,LS Energy,"Sustainable drainage design will reduce energy required (and associated emissions) from surface water pumping, wastewater pumping/treatment",Sustainable drainage design will reduce the energy required for surface water pumping and waste water pumping and treatment.,
LE Cycle Water,LS Health,"Not SUDS but relationship between cleaning up overflow/sewage discharge etc. and health? High levels of harmful pathogens/bacteria in untreated sewage.

Clean up/regeneration of canals (e.g. in north Glasgow) linked with lower risk of NCDs and protective factor against mental ill health

Need to be careful/knowledgeable in implementation to ensure no health risks e.g. from bacteria or pollutants",Proper treatment of potentially contaminated water prior to reuse can have positive health impacts (e.g. reduce bacterial illnesses). ,
LE Cycle Water,LS Community,Social spaces with sense of community created e.g. along the banks of regenerated canals/rivers ,,"? Leave out, is this relevant to water cycling?"
LE Cycle Water,LS Water,"Rainwater harvesting can reduce mains water usage (by 50%?)

Improved water security (mitigation action becomes adaptation measure) - more water in reserve for extreme heat/drought events",Rainwater harvesting can reduce mains water usage and therefore improve water security. ,
LE Cycle Water,LS Income and Work,"Reduced water bills for households? (Not necessarily - read the studies)
BUT
Some equipment e.g. installing the gear to flush toilets with grey water is expensive",Costs of installing new equipment in homes to allow reuse of grey water can be expensive and may not be affordable to those on lower income.,
LE Cycle Water,LS Mobility,Prevention of flooding will reduce potential disruption to transport and travel routes,Water management to prepare for and prevent flooding can support mobility by reducing potential disruption to transport and travel routes.,
LE Cycle Water,LS Housing, ,Water management to prepare for and prevent flooding can help to protect housing from water damage.,
LE Cycle Water,LE Store Carbon,SUDS incorporating vegetation can act as carbon storage,Sustainable urban drainage systems (SUDS) involving vegetation can act as carbon capture and storage solutions.,
LE Cycle Water,LE Regulate the Temperature,"Micro scale 'Blue' infrastructure (part of GBGI infrastructure) can work as a cooling tool during heatwaves e.g. in parks, wetlands","Blue' space infrastructure (e.g. in parks, wetlands) can help to regulate the temperature during heat waves.",
LE Cycle Water,LE Build and Protect Soil,"Harvesting rainwater prevents excessive runoff, reducing soil erosion and associated nutrient loss. It helps to maintain soil structure, fertility, and long-term agricultural productivity. Rainwater is free of salts, chemicals, and pollutants, providing healthier water for plants.","Harvesting rainwater can prevent excessive run-off, reducing soil erosion and nutrient loss.",
LE Cycle Water,LE House Biodiversity,"Flood collection points created along the waterways provide new habitats for wildlife and biodiversity

No more sewage discharge would reduce algal blooms which kill other plants and animals

Sustainable water management practices can protect habitats along riverbeds etc. and the various species (animal and plant) that live there",Sustainable water management practices can create healthy river corridors that are better able to house biodiversity. ,
LE Cycle Water,LE Cleanse the Air,Planting marsh and trees to reduce flood risk will have positive impact on air quality,Planting marsh and trees as flood protection measures may help cleanse the air. ,
LE Cycle Water,GE Ocean Acidification,"Capturing CO2 in urban design vegetation can reduce amount released into atmosphere, that causes ocean acidification",,? Not sure what this has to do with cycling water?
LE Cycle Water,GE Climate Change,SUDS involving vegetation that act as carbon capture and storage can reduce contribution to climate change,,Leave out - action via carbon storage (see above) rather than direct?
LE Cycle Water,GE Excessive Fertilizer Use,"Sustainable drainage practices along the Clyde and prevention of sewage overflow can reduce fertiliser runoff

Rainwater harvesting can reduce fertilizer runoff
BUT
Some risk of grey water sources containing nitrogen/phosphorus - don't want to unleash these into the land",Sustainable urban drainage systems (SUDS) can reduce the runoff of excessive fertilizer use. Proper treatment of grey water sources that contain nitrogen and phosphorus due to excessive fertilizer use will reduce the harms caused by releasing this water into the land (e.g. through algal blooms). ,
LE Cycle Water,GE Chemical Pollution,"SUDS protect the water system from microplastic pollution and other chemicals
Reduced chemical treatment of water that doesn’t need it (e.g. currently we use drinking quality water to flush toilets)",Sustainable urban drainage systems (SUDS) create permeable surfaces to reduce chemical pollution via run-off.,
LE Cycle Water,GE Fresh Water Withdrawal,Less fresh (blue) water withdrawn when reused (grey) water will suffice e.g. for gardening ,Freshwater withdrawals can be reduced by making efficient use of untreated (grey) water.,
LE Store Carbon,LS Income and Work,"Could create green jobs in many sectors through large-scale decarbonisation initiatives and infrastructure

Could transform VDL sites into space of employment and productivity","Green jobs could be created through large-scale decarbonisation and carbon capture and storage infrastructure, boosting income and work.",
LE Store Carbon,LS Health,"Air quality improves = good for health

Remediation of polluted VDL sites could reduce toxic materials and heavy metals in the ground that are a health hazard",Regenerating vacant and derelict land for carbon storage could harness positive health co-benefits by removing toxins and heavy metals from the ground. ,
LE Store Carbon,LS Social Equity,"Targeting remedial action (e.g. transformation of VDL sites) could primarily improve deprived areas, reducing spatial inequalities","Remediating vacant and derelict land for carbon storage can help improve social equity, as sites are usually in deprived areas.",
LE Store Carbon,LS Community,Opportunity to improve community engagement with VDL sites and transform them in partnership/consideration with community priorities,Regenerating vacant and derelict land for carbon storage could transform these sites into places for community activity and connection.,
LE Store Carbon,LS Housing,WP5: storing carbon in VDL sites could create building materials that could then be used for housing construction,Using carbon capture and storage technology to create building materials can support housing activity.,
LE Store Carbon,LE Cleanse the Air,"Urban greening intended to store carbon will also help cleanse the air, can store additional pollutants

WP3 CCS:
Process uses fumes that would otherwise go into the Glasgow atmosphere as a pollutant, so through CCS we will divert pollution from the air and neutralise it.
The gases needed for the remediation process will come from local emitters, so will not add to air pollution through transportation.
Will reduce the current high risk of soil contaminants coming out of the ground into the air. The risk of this is especially high in dry conditions, and people using the site (e.g. dogwalkers, children playing) are unlikely to be aware of it. The CCS process will 'lock up' this pollution.","Urban greening and other methods to store carbon will also remove other pollutants, helping to cleanse the air.",
LE Store Carbon,LE Enhance Wellbeing,More greenery = good for wellbeing,"Increasing urban greening, and regenerating vacant and derelict land for carbon storage could transform these sites into places for recreation to enhance wellbeing.",
LE Store Carbon,LE Regulate the Temperature,Urban greening intended to store carbon will also help to regulate the temperature,Increasing urban greening to store carbon can also regulate the temperature. ,
LE Store Carbon,LE Cycle Water,"CCS removing contaminants that might otherwise enter the water system will improve quality of water, allowing ecosystems and biodiversity to thrive

CCS Process could change the hydrological cycle, and so restore healthy soil that can effectively filter water, allowing more biodiversity to grow and thrive.",Carbon capture and storage removes contaminants that might otherwise enter the water system and will improve the quality of water.,
LE Store Carbon,LE Build and Protect Soil,"WP3 - The formation of crystals (by entrapment of contaminants) could create healthy soil that can be used for biomass growth, and further carbon sequestration.

CCS Process could change the hydrological cycle, and so restore healthy soil that can effectively filter water, allowing more biodiversity to grow and thrive.",Carbon capture and storage solutions can help to  protect soil by removing toxins,
LE Store Carbon,LE House Biodiversity,"VDL sites often host rare species - some projects could work to protect them, but remediation could also be a risk to some of their unique habitats

But, decontaminating sites could create enabling conditions for more biodiversity to be planted/introduced (in partnership with other GALLANT WPs, e.g. WP2?)

CCS Process could change the hydrological cycle, and so restore healthy soil that can effectively filter water, allowing more biodiversity to grow and thrive.","Remediation of vacant and derelict land for carbon capture may risk existing biodiversity in these unique habitats, but could also provide enabling conditions for alternative species.",
LE Store Carbon,GE Ocean Acidification,Reducing atmospheric CO2 emissions will reduce ocean acidification (it is caused by increasing CO2),Reducing atmospheric carbon emissions will reduce contributions to ocean acidification.,
LE Store Carbon,GE Climate Change,"storing more carbon will prevent it being released into the atmosphere, reducing the contribution to climate change",Reducing atmospheric carbon emissions will reduce contributions to climate change.,
LE Store Carbon,GE Land Conversion,"Carbon Sequestration will enable the re-conversion/re-purposing of land that has already been converted or contaminated.
Making derelict land useful again may reduce need to convert further land for human purposes, so can preserve more of nature.

Will open up more possibilities for the future of these sites, and can learn from the historical uses of these sites what to recreate or not recreate (with WS2) - sharing this knowledge globally",Using vacant and derelict land for carbon capture and storage will enable re-purposing of this land and reduce the need for further land conversion for human purposes.,
LE Store Carbon,GE Chemical Pollution,"Waste management as part of CCS could reduce further/future chemical pollution, preventing this waste from being released.

Remediating VDL and removing chemical/toxins from the ground could have additional global benefit through knowledge sharing and influence",Waste management as part of carbon storage solutions could reduce chemical pollution.,
LE Regulate the Temperature,LS Health,"Trees and other green/blue spaces to keep Glasgow cool would reduce risk of Glasgow becoming an Urban Heat Island, with increased risk of deaths and illness from overheating","Measures to regulate the temperature within Glasgow such as creating green and blue spaces, will minimise the risk of urban heat island effect during heat waves and its associated health harms e.g. stroke, overheating.",
LE Regulate the Temperature,LE Enhance Wellbeing,"More greenery = good for wellbeing, more accessible blue space = good for wellbeing","Green and blue spaces created to regulate the temperature can also be used for leisure and physical activity, which will enhance wellbeing. ",
LE Regulate the Temperature,LE House Biodiversity,Text from LE summary,Green and blue spaces created to regulate the temperature could help to house biodiversity. ,
LE Regulate the Temperature,LE Store Carbon,Text from LE summary,Green and blue spaces created to regulate the temperature could help to store carbon.,
LE Regulate the Temperature,GE Climate Change,Text from LE summary,Regulating the temperature and reducing the amount of atmospheric heat released from Glasgow will also reduce its contribution to climate change.,
LE House Biodiversity,LS Income and Work,"Could create jobs e.g. biodiversity advocates in communities, companies will be looking for 'sustainability' managers
'Ecosystem managers' to manage biodiverse habitats will be needed (job creation)

Tourism could grow e.g. through increased presence of otters. Biodiversity loss leads to lesser attractiveness of Glasgow","Rewilding and replanting initiatives that increase biodiversity could support sustainable job creation to develop and maintain these areas, positively impacting income and work, as well as attracting tourists to Glasgow to support job creation in this sector.",
LE House Biodiversity,LS Health,"Communities with more biodiversity are more resistant to disease and illness e.g. pandemics (would this apply in Glasgow?)

Improved green and blue space will have direct positive impacts on mental health
Spaces available for community food growing and social connections - positive for mental health and wellbeing
More spaces created that can be used for active travel - direct positive impacts on physical health
Reduced pollution
Urban cool microclimate
Possible negative impacts: increasing parasite loads with improved biodiversity e.g. ticks could lead to zoonotic diseases (Lyme Disease, Weil's Disease etc.)
More invasive species e.g. giant hogweed
Risks of disease spread from rats or pigeons","Initiatives that increase biodiversity through improved blue and green space will have a positive impact on health through benefits to mental health and providing space for physical activity. However, there is potential for negative health effects if new species or wildlife habitats bring parasites or more opportunities for disease spread. Increased allergens are possible from some plant life.",
LE House Biodiversity,LS Community,Spaces available for community food growing and social connections - positive for mental health and wellbeing,"Rewilding and replanting initiatives that increase biodiversity, such as local species reintroduction, could provide opportunities for community benefit through inclusive participation. ",
LE House Biodiversity,LS Education,"Good opportunity for education, involving schools and youth groups in rewilding etc.","Rewilding and replanting initiatives that increase biodiversity, such as local species reintroduction, could involve local schools and youth groups and can provide important education opportunities. ",
LE House Biodiversity,LS Food,"Pollinators/worms etc. essential for food production
more biodiversity leads to more pollinators which are essential for food security - the benefits of this could also spill over into rural areas

Improved biodiversity of sites may offer opportunities for human foraging e.g. berries, fungi","More biodiversity supports pollinators and worms, which are essential for food security.",
LE House Biodiversity,LS Housing,"Biodiversity protection work could influence housing and construction design i.e. promote designs that are good for biodiversity

Biodiversity Net Gain",Biodiversity protection work could inform the design of new housing sites so they can support greater local biodiversity.,
LE House Biodiversity,LE Store Carbon,"Restoration of biodiverse sites including carbon sinks around Glasgow (e.g. wetlands, peatlands and Kelp forests) will capture CO2 and keep it in the ground",Increased biodiversity of plants can store carbon.,
LE House Biodiversity,LE Cleanse the Air,More plant biodiversity has air cleansing potential,Increased biodiversity of plants can cleanse the air.,
LE House Biodiversity,LE Enhance Wellbeing,Spaces available for community food growing and social connections - positive for mental health and wellbeing,"Initiatives that increase biodiversity through improved blue and green space can enhance wellbeing,  by providing spaces for leisure and opportunities for social connection.",
LE House Biodiversity,LE Regulate the Temperature,More biodiversity could protect against Heat Island effects,Increased biodiversity of plants can help to regulate the temperature.,
LE House Biodiversity,LE Cycle Water,"Habitat improvement allows for more water retention, also reduces flood risk",Increased biodiversity of plants can support efficient cycling of water and reduce flood risks.,
LE House Biodiversity,LE Build and Protect Soil,"Increased biodiversity along waterways e.g. mudflats can stabilise/bind soil and prevent soil erosion (does Glasgow have mudflats or are they just coastal?)

Regenerating VDL for biodiversity could replenish soil nutrients","More biodiversity supports pollinators and worms, which can contribute to building and protecting soil health, and stabilising/binding soil through habitat restoration can prevent soil erosion. ",
LE House Biodiversity,LE House Biodiversity,Increasing habitat corridors etc. with goal of housing biodiversity could ALSO have unintended consequence of inviting more invasive species (putting native species at risk),,Leave out - hard to show connection to same dimension
LE House Biodiversity,GE Biodiversity Loss,Can halt/reverse damage to wildlife populations e.g. reintroducing insects where algae has wiped them out can bring back food supply for fish,Increasing biodiversity locally has the potential to reverse damage to global wildlife populations.,
LE House Biodiversity,GE Air Pollution,More biodiversity has air cleansing potential,Increased biodiversity of plants can reduce air pollution.,
LE House Biodiversity,GE Climate Change,"More biodiversity can contribute to temperature regulation, reducing contribution to temperature rises",,"Increased biodiversity can help to regulate the temperature, reducing contributions to climate change. ? Leave out as via regulate temperature?"
LE House Biodiversity,GE Excessive Fertilizer Use,"Habitat improvement and increased biodiversity along waterways e.g. mudflats can stabilise/bind soil and prevent soil erosion, and accompanying nutrient runoff",Stabilising and binding soil through habitat restoration to increase biodiversity can prevent nutrient runoff from excessive fertilizer use.,
LE Build and Protect Soil,LS Health,"Nutritional quality of food is impacted by soil quality/nutrient richness. Also conditions of livestock farming e.g. antibiotic resistance?

Decontamination of soil = removal of toxins and pollutants that are bad for health

WP3: This process will lock in harmful contaminants that would otherwise end up in the water systems and could be consumed by people in many ways e.g. drinking water, farming systems, in fish.
There are many mental and physical illnesses associated with the accumulation of heavy metals in the body.
This process will reduce the risk of inhaling dust and contaminants that come from the polluted ground during dry periods.
For wellbeing, it is harmful to live near, or regularly see, neglected or polluted sites. This process may make these sites less harmful.","Keeping soils free from toxins supports good health, preventing diseases associated with inhaling dust and contaminants from polluted ground during dry periods.",
LE Build and Protect Soil,LS Social Equity,VDL transformation: Focussing on sites that are in deprived areas (high levels of VDL in deprived areas = existing injustice) so could improve the conditions of neglected communities,"Decontaminating vacant and derelict land may improve social equity, as the majority of sites are in deprived neighbourhoods.",
LE Build and Protect Soil,LS Culture,Links to culture and heritage through preservation of SSSIs (Sites of Special Scientific Interest),Regeneration of vacant and derelict land could preserve heritage and culture through conserving Sites of Special Scientific Interest (SSIs).,
LE Build and Protect Soil,LS Political Voice,Could bring in community democratic oversight re. how to use previously neglected land,Decisions on new uses for vacant and derelict land could be directed by community voices.,
LE Build and Protect Soil,LS Community,Create spaces for community togetherness (in remedy of sites that have been exclusionary due to poor quality of soil/toxic contamination),Putting vacant and derelict land into productive use may have community and social benefits.,
LE Build and Protect Soil,LS Education,"WP3: For the scientific community: will be publishing and sharing the research on new scientific techniques (papers, conferences etc.)
'Public Education' may be possible here too (with WS2) to consider experiential learning etc.",,Leave out - not relevant connection?
LE Build and Protect Soil,LS Food,"Quality of food impacted by soil quality and health (nutrient depletion etc.)

Restoring or decontaminating land, encouraging more biodiversity/pollinators,  could open up opportunities for local growing initiatives/allotments etc.

Removing contaminants from soil and water will prevent them from ending up in our crops/fish","Soil quality impacts the abundance and nutritional quality of food, and restoring contaminated land could open opportunities for local growing initiatives and allotments.",
LE Build and Protect Soil,LE House Biodiversity,"Restoring or decontaminating land, encouraging more biodiversity/pollinators,  could open up opportunities for local growing initiatives/allotments etc.",Preserving good quality soil supports biodiversity and pollinators.,
LE Build and Protect Soil,LE Enhance Wellbeing,"For wellbeing, it is harmful to live near, or regularly see, neglected or polluted sites. This process may make these sites less harmful.","Decontaminating vacant and derelict land sites may have beneficial psychological effects for people who live near them, enhancing wellbeing. ",
LE Build and Protect Soil,LE Cycle Water,"Reducing contamination levels in the soil will lead to fewer contaminants entering the underground water systems, rivers, and sea systems.
Soil is a very important filter for hydrological systems, but chemical pollutants prevent good filtering and can displace matter.
Contamination (reducing organic matter leading to reduced soil function) can lead to an increase in localised flooding (link with WP1 here).
Risks to be aware of/monitored here: carbon sequestration process could possibly lead to increased flooding too - need to understand where the mineral will form, and could it block water flows?","Improving soil quality makes it more effective at filtration, increasing its ability to cycle water, and reducing soil pollution reduces the risks of contaminating water systems with toxins.  ",
LS Mobility,LS Income and Work,"Maintenance of bicycles and scooters etc. is cheaper than fossil fuel travel.
Cheaper associated running costs for bicycles, scooters e.g. insurance","Better connected networks and neighbourhoods through active travel routes and green public transport can provide access to more work opportunities. Costs of walking or running bikes and scooters (e.g. maintenance, insurance) are lower than running private cars, which may benefit income.",
LS Mobility,LS Health,"Reduced use of private cars and decarbonised public transport will improve air quality in the city and reduce illness/death associated with air pollution

Better opportunity for active travel can generate physical and mental health benefits

Lower levels of traffic could result in fewer RTAs

Improved mobility and transport options could also improve access to health care services","Active travel can be beneficial for physical and mental health, and reduced traffic levels could reduce road traffic accidents. Improved mobility and transport options can improve access to health care services.",
LS Mobility,LS Social Equity,"Manner of implementation, design, location, costs etc. will determine impacts on equity. Current transport system in Glasgow is highly inequitable. Costs of decarbonising private vehicles will not be equally felt without specific policy interventions.

Accessible active travel options can be empowering, giving individuals more agency and choice to travel under their own steam.","Reducing social, physical, cultural and monetary barriers to activities such as cycling will positively impact social equity.",
LS Mobility,LS Equality in Diversity,"Gender equality: Making active travel an opportunity for all, including groups such as Asian women, while also making communities and streets safer (fewer cars) for all people, especially women who might be reluctant to walk or cycle (alone or with their children) in heavy traffic neighbourhoods

Some AT infrastructure could risk leaving some people with limited mobility feeling trapped or excluded.
BUT
Better AT infrastructure and adapted equipment may support disabled people to increase AT participation.","Reducing social, physical, cultural and monetary barriers to activities such as cycling will positively impact equality in diversity.",
LS Mobility,LS Political Voice,"More AT may lead to increased sense of community cohesion and belonging, leading to more opportunities for collective action.",,? Leave out as via community cohesion?
LS Mobility,LS Community,"Easier connections across networks, and social interactions as part of AT participation could provide more access to opportunities, boost social bonds, and reduce loneliness and isolation

Networks: Mobility within the local community could link further to other active travel networks, making networks bigger overall",Better connected networks and neighbourhoods through active travel routes and green public transport can strengthen community ties.,
LS Mobility,LS Education,"Travelling to school using active methods can improve children's readiness to learn (improving mood and concentration)

More active travel could lead to communities and schools offering bike education.
Better bike education leads to improved skills and road safety awareness/knowledge.
Increased and alternative transport options available to access education.",Better connected networks and neighbourhoods through active travel routes and green public transport can provide access to more education opportunities. Travelling to school via active methods can improve children's readiness to learn.,
